"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"0500000US08055","Huerfano County, Colorado","50991","9799","null","null",
"0500000US08057","Jackson County, Colorado","68375","15303","null","null",
"0500000US08059","Jefferson County, Colorado","108867","1585","null","null",
"0500000US08061","Kiowa County, Colorado","52059","12345","null","null",
"0500000US08063","Kit Carson County, Colorado","65182","6221","null","null",
"0500000US08065","Lake County, Colorado","83773","11777","null","null",
"0500000US08067","La Plata County, Colorado","89737","5692","null","null",
"0500000US08069","Larimer County, Colorado","96221","2013","null","null",
"0500000US08071","Las Animas County, Colorado","55489","2807","null","null",
"0500000US08073","Lincoln County, Colorado","72531","8123","null","null",
"0500000US08075","Logan County, Colorado","66311","4423","null","null",
"0500000US08077","Mesa County, Colorado","72740","2666","null","null",
"0500000US08079","Mineral County, Colorado","65000","16669","null","null",
"0500000US08081","Moffat County, Colorado","71823","5824","null","null",
"0500000US08083","Montezuma County, Colorado","61099","2834","null","null",
"0500000US08085","Montrose County, Colorado","67827","4953","null","null",
"0500000US08087","Morgan County, Colorado","64274","3612","null","null",
"0500000US08089","Otero County, Colorado","58457","3005","null","null",
"0500000US08091","Ouray County, Colorado","79048","6059","null","null",
"0500000US08093","Park County, Colorado","90338","11140","null","null",
"0500000US08095","Phillips County, Colorado","61667","16789","null","null",
"0500000US08097","Pitkin County, Colorado","97643","17049","null","null",
"0500000US08099","Prowers County, Colorado","50746","5971","null","null",
"0500000US08101","Pueblo County, Colorado","62959","2738","null","null",
"0500000US08103","Rio Blanco County, Colorado","79130","11834","null","null",
"0500000US08105","Rio Grande County, Colorado","65676","9545","null","null",
"0500000US08107","Routt County, Colorado","95594","10199","null","null",
"0500000US08109","Saguache County, Colorado","54044","4172","null","null",
"0500000US08111","San Juan County, Colorado","67750","14965","null","null",
"0500000US08113","San Miguel County, Colorado","84078","9795","null","null",
"0500000US08115","Sedgwick County, Colorado","67321","13374","null","null",
"0500000US08117","Summit County, Colorado","92436","8307","null","null",
"0500000US08119","Teller County, Colorado","78439","4715","null","null",
"0500000US08121","Washington County, Colorado","61852","3468","null","null",
"0500000US08123","Weld County, Colorado","85167","2062","null","null",
"0500000US08125","Yuma County, Colorado","57406","9550","null","null",
"0500000US09001","Fairfield County, Connecticut","120156","2326","null","null",
"0500000US09003","Hartford County, Connecticut","97406","1743","null","null",
"0500000US09005","Litchfield County, Connecticut","101473","2211","null","null",
"0500000US09007","Middlesex County, Connecticut","111117","4128","null","null",
"0500000US09009","New Haven County, Connecticut","92508","2039","null","null",
"0500000US09011","New London County, Connecticut","94894","2780","null","null",
"0500000US09013","Tolland County, Connecticut","113232","3785","null","null",
"0500000US09015","Windham County, Connecticut","83839","2259","null","null",
"0500000US10001","Kent County, Delaware","70383","2310","null","null",
"0500000US10003","New Castle County, Delaware","93884","1386","null","null",
"0500000US10005","Sussex County, Delaware","77499","2795","null","null",
"0500000US11001","District of Columbia, District of Columbia","120337","3493","null","null",
"0500000US12001","Alachua County, Florida","74106","2895","null","null",
"0500000US12003","Baker County, Florida","74470","4495","null","null",
"0500000US12005","Bay County, Florida","68575","3147","null","null",
"0500000US12007","Bradford County, Florida","53929","7017","null","null",
"0500000US12009","Brevard County, Florida","73440","1528","null","null",
"0500000US12011","Broward County, Florida","73430","1173","null","null",
"0500000US12013","Calhoun County, Florida","55239","9202","null","null",
"0500000US12015","Charlotte County, Florida","63887","1884","null","null",
"0500000US12017","Citrus County, Florida","57253","2246","null","null",
"0500000US12019","Clay County, Florida","78619","2719","null","null",
"0500000US12021","Collier County, Florida","84784","2621","null","null",
"0500000US12023","Columbia County, Florida","59159","4911","null","null",
"0500000US12027","DeSoto County, Florida","42784","4070","null","null",
"0500000US12029","Dixie County, Florida","47188","8669","null","null",
"0500000US12031","Duval County, Florida","69059","1354","null","null",
"0500000US12033","Escambia County, Florida","65508","1734","null","null",
"0500000US12035","Flagler County, Florida","66778","2998","null","null",
"0500000US12037","Franklin County, Florida","54971","6454","null","null",
"0500000US12039","Gadsden County, Florida","50020","3429","null","null",
"0500000US12041","Gilchrist County, Florida","56397","4800","null","null",
"0500000US12043","Glades County, Florida","46105","8908","null","null",
"0500000US12045","Gulf County, Florida","60978","11534","null","null",
"0500000US12047","Hamilton County, Florida","44231","6593","null","null",
"0500000US12049","Hardee County, Florida","47222","4997","null","null",
"0500000US12051","Hendry County, Florida","41722","6316","null","null",
"0500000US12053","Hernando County, Florida","58239","2563","null","null",
"0500000US12055","Highlands County, Florida","52793","1692","null","null",
"0500000US12057","Hillsborough County, Florida","73907","1263","null","null",
"0500000US12059","Holmes County, Florida","48511","3115","null","null",
"0500000US12061","Indian River County, Florida","72001","2603","null","null",
"0500000US12063","Jackson County, Florida","51744","2303","null","null",
"0500000US12065","Jefferson County, Florida","62571","4655","null","null",
"0500000US12067","Lafayette County, Florida","53625","15651","null","null",
"0500000US12069","Lake County, Florida","67676","1792","null","null",
"0500000US12071","Lee County, Florida","71043","1287","null","null",
"0500000US12073","Leon County, Florida","77707","2223","null","null",
"0500000US12075","Levy County, Florida","47963","2582","null","null",
"0500000US12077","Liberty County, Florida","56063","10074","null","null",
"0500000US12079","Madison County, Florida","48597","4988","null","null",
"0500000US12081","Manatee County, Florida","73429","2429","null","null",
"0500000US12083","Marion County, Florida","56181","1758","null","null",
"0500000US12085","Martin County, Florida","85508","3425","null","null",
"0500000US12086","Miami-Dade County, Florida","60666","721","null","null",
"0500000US12087","Monroe County, Florida","84215","4297","null","null",
"0500000US12089","Nassau County, Florida","84984","3364","null","null",
"0500000US12091","Okaloosa County, Florida","80016","2637","null","null",
"0500000US12093","Okeechobee County, Florida","51754","4678","null","null",
"0500000US12095","Orange County, Florida","70209","1402","null","null",
"0500000US12097","Osceola County, Florida","60198","2323","null","null",
"0500000US12099","Palm Beach County, Florida","79785","1289","null","null",
"0500000US12101","Pasco County, Florida","66750","1354","null","null",
"0500000US12103","Pinellas County, Florida","75478","1295","null","null",
"0500000US12105","Polk County, Florida","59623","1106","null","null",
"0500000US12107","Putnam County, Florida","49188","2879","null","null",
"0500000US12109","St. Johns County, Florida","100347","4949","null","null",
"0500000US12111","St. Lucie County, Florida","62950","2262","null","null",
"0500000US12113","Santa Rosa County, Florida","79646","3049","null","null",
"0500000US12115","Sarasota County, Florida","80438","1901","null","null",
"0500000US12117","Seminole County, Florida","85246","1696","null","null",
"0500000US12119","Sumter County, Florida","72792","3452","null","null",
"0500000US12121","Suwannee County, Florida","54807","4980","null","null",
"0500000US12123","Taylor County, Florida","51850","7048","null","null",
"0500000US12125","Union County, Florida","59145","10638","null","null",
"0500000US12127","Volusia County, Florida","65599","1208","null","null",
"0500000US12129","Wakulla County, Florida","76987","5954","null","null",
"0500000US12131","Walton County, Florida","78304","4602","null","null",
"0500000US12133","Washington County, Florida","50387","3812","null","null",
"0500000US13001","Appling County, Georgia","48079","3283","null","null",
"0500000US13003","Atkinson County, Georgia","46086","5086","null","null",
"0500000US13005","Bacon County, Georgia","48190","13138","null","null",
"0500000US13007","Baker County, Georgia","46429","30065","null","null",
